,Player 1,Player 2,1,X,2,O,Total,U,1*,Handicap,2*,O*,IT1,U*,O*,IT2,U*,1*,2*,X*
20,Ukraine (3х3),Belarus (3х3),17,10,-,10,-,-,1.705,19,2.065,1.83,+4-,1.91,1.896,7.5,1.845,1.896,11.5,1.845
0,Irtysh Omsk,Chertanovo,22,7.48,1.12,5.65,1.075,-,2.08,2.5,1.75,2.13,+1.5-,1.71,1.87,0.5,1.9,1.87,2,1.9
1,Orenburg,Alania Vladikavkaz,1.69,3.55,5.08,1.15,1.275,2.1,2.24,2.5,1.65,2.32,-1+,1.61,1.69,1.5,2.11,1.69,0.5,2.11
2,Borussia Monchengladbach,Verl,1.14,9.31,12,1.02,1.045,5.27,1.965,3.5,1.84,1.73,-2+,2.1,1.88,2.5,1.88,1.88,0.5,1.88
3,Estonia (Women),Latvia (Women),2.23,3.04,3.44,1.29,1.355,1.62,1.965,2,1.84,1.56,0,2.42,1.59,1,2.31,1.59,0.5,2.31
4,Taguatinga EC,Bosque Formosa,3.9,2.71,2.25,1.608,1.432,1.235,2.256,1.5,1.64,2.68,0,1.47,1.58,0.5,2.32,1.58,0.5,2.32
5,Capital CF,Real Nucleo Bandeirante,3.51,3.1,2.17,1.65,1.344,1.28,1.88,2,1.92,2.41,0,1.57,1.63,0.5,2.22,1.63,1,2.22
6,Ajax Cape Town,Richards Bay,1.97,2.32,7.75,1.07,1.575,1.79,1.87,1,1.93,3.51,-1+,1.3,3.66,0.5,1.27,3.66,0.5,1.27
7,Sandvikens,Team TG,1.27,5.65,9.24,1.045,1.125,3.53,1.832,3.5,1.97,1.78,-1.5+,2.03,2.38,2.5,1.55,2.38,1,1.55
8,Baobab Queens (Women),Ruvuma Queens (Women),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
