,Player 1,Player 2,1,X,2,1X,12,X2,Hcap.,1*,Hcap.*,2*,Total,O,U,Extras
4,Jeju United,Asan Mugunghwa,1.53,3.90,5.90,1.10,1.20,2.35,-1.5,2.55,+1.5,1.45,2.5,2.05,1.68,+192
5,Kataller Toyama,SC Sagamihara,1.04,11.00,50.00,,1.01,8.50,-2.5,2.35,+2.5,1.52,3.5,1.98,1.72,+94
6,Defenders,Super Sun,1.04,18.00,18.00,,,8.50,-3.5,2.30,+3.5,1.55,4.5,2.00,1.72,+125
7,Ryzhiye Lisy,Sinie Ptitsy,3.50,2.35,2.75,1.40,1.52,1.26,0,2.07,0,1.67,7.5,2.00,1.72,+12
8,Gumi Sportstoto (w),Boeun Sangmu (w),1.14,5.60,36.00,,1.11,4.90,-1.5,3.60,+1.5,1.25,1.5,2.05,1.68,+8
9,Seoul Amazones (w),Gyeongiu KHNP (w),11.50,1.80,2.30,1.55,1.90,1.01,+1.5,1.07,-1.5,6.70,2.5,1.75,1.95,+10
10,Suwon (w),Hwacheon KSPO (w),12.50,3.45,1.40,2.75,1.25,,+1.5,1.09,-1.5,6.00,1.5,1.83,1.87,+12
11,JEF United Chiba (w),Ehime (w),2.90,1.58,10.00,1.02,2.25,1.35,0,1.23,0,3.75,0.5,2.20,1.60,+10
12,Man. City (mooneycb),Liverpool (slezaintima),2.30,2.85,3.35,1.28,1.37,1.55,-1.5,5.00,+1.5,1.13,2.5,2.25,1.57,+92
13,Arsenal L (Olle),Man.United (dm1trena),2.85,2.40,3.25,1.30,1.50,1.37,-1.5,5.60,+1.5,1.11,2.5,2.10,1.65,+91
14,Bayern (Tigo),Piemonte Calcio (Paulo),1.75,3.40,4.50,1.16,1.27,1.95,0,1.30,0,3.15,3.5,1.55,2.30,
15,Man. City (Harry),Atletico M (Nrek),1.25,5.30,11.50,1.01,1.12,3.55,-1.5,1.93,+1.5,1.77,2.5,1.50,2.40,
16,Napoli (HovHar),Liverpool (Archi),2.02,3.00,3.90,1.20,1.35,1.70,0,1.43,0,2.65,1.5,1.75,1.95,
17,Feyenoord (Dimqaa),CSKA M (Praym),1.37,4.30,8.50,1.04,1.18,2.85,-1.5,2.70,+1.5,1.40,2.5,1.95,1.75,
18,Roma (Fasqer),Wolverhampton (Skmgery),,,1.02,15.00,,,+2.5,2.20,-2.5,1.60,5.5,1.75,1.95,+45
19,Neftekhimik,Severstal,2.30,3.70,2.75,1.42,1.25,1.58,-1.5,3.60,+1.5,1.27,3.5,1.93,1.83,+174
20,Sputnik Almetyevsk,Stalnye Lisy,,,,,,,-3.5,2.70,+3.5,1.43,4.5,1.85,1.90,+58
21,Neftyanik Almetyevsk,Udmurtiya,1.45,5.00,5.80,1.12,1.15,2.65,-1.5,1.87,+1.5,1.88,3.5,1.75,2.00,+116
22,Proletarians of Hockey,Belye Ldiny,,,,,,,,,,,,,,
23,Zolin (PGM) N-Y Rangers,Davydov (ILY) Arizona,,,,,,,,,,,,,,
24,Toronto (nazar4ik99),Boston Bruins (Joker),1.33,3.60,18.00,,1.25,3.05,-1.5,3.80,+1.5,1.22,5.5,1.65,2.10,+27
25,Anadolu Efes (Fosters23),Zenit (BLM_Mamba),2.30,,1.55,,,,+1.5,1.92,-1.5,1.78,112.5,1.83,1.87,+6
26,Golden State Warriors (Siegfried),Portland Trail Blazers (BoBBY),,,,,,,+9.5,1.75,-9.5,1.95,129.5,1.90,1.80,+6
27,Dallas Mavericks (SLAMDUNKVV),Houston Rockets (Spenish),,,,,,,-17.5,2.03,+17.5,1.70,,,,
28,Atlanta Hawks (Galka_khv),Houston Rockets (Dokto_rmom),1.55,,2.30,,,,-3.5,1.85,+3.5,1.85,105.5,1.85,1.85,+6
29,Scotland (Elgy),France (GenaBukin),,,,,,,,,,,52.5,1.40,2.72,
30,Hiroshima Carp,Chunichi Dragons,,,,,,,0,1.05,0,7.90,6.5,1.70,2.02,+25
31,Yokohama Baystars,Hanshin Tigers,,,,,,,0,1.15,0,4.70,7.5,1.90,1.80,+22
32,Galaxy Racer Esports,lvlUP,,,,,,,,,,,,,,
33,AVANT,Paradox,1.43,,2.60,,,,,,,,,,,
34,Neon Esports,496 Gaming,,,,,,,,,,,,,,
0,Oud Heverlee Leuven,Eupen,,,,,,,,,,,,,,
1,TSG Balingen,Pforzheim,,,,,,,-3.5,1.42,+3.5,2.65,4.5,2.35,1.53,+14
2,Bottrop 1900,Rentfort,,,,,,,+4.5,1.57,-4.5,2.25,6.5,1.42,2.65,+7
3,Adler Berlin-2,Wacker Lankwitz-2,,,,,,,-4.5,2.65,+4.5,1.40,4.5,1.60,2.20,+7
4,St. John Bosco,Tolka Rovers,,,,,,,+5.5,1.83,-5.5,1.87,6.5,1.60,2.20,+59
5,Templeogue United,Wayside Celtic,2.95,2.75,2.65,1.42,1.40,1.35,+1.5,1.11,-1.5,5.70,3.5,1.68,2.05,+94
6,Home Farm,Malahide Un,3.05,3.95,2.00,1.72,1.20,1.33,+1.5,1.35,-1.5,2.95,3.5,1.87,1.83,+209
7,Finn Harps,St. Patrick's Athletic,2.02,3.05,3.85,1.22,1.33,1.70,-1.5,5.70,+1.5,1.10,2.5,1.80,1.90,+154
